№,Секунда,Микросекунда
1,17,483958
2,17,494512
3,17,504545
4,17,514570
5,17,525082
6,17,535484
7,17,545893
8,17,555943
9,17,566395
10,17,576795
11,17,586932
12,17,597013
13,17,607513
14,17,618006
15,17,628537
16,17,639012
17,17,649505
18,17,659814
19,17,670009
20,17,680042
21,17,690545
22,17,701012
23,17,711440
24,17,721566
25,17,732008
26,17,742515
27,17,753008
28,17,763423
29,17,773468
30,17,783957
31,17,794340
32,17,804514
33,17,815073
34,17,825296
35,17,835478
36,17,846027
37,17,856519
38,17,866663
39,17,877199
40,17,887487
41,17,897540
42,17,907572
43,17,917600
44,17,927643
45,17,937668
46,17,948077
47,17,958129
48,17,968344
49,17,978392
50,17,988931
51,17,998960
52,18,9491
53,18,19519
54,18,29543
55,18,39567
56,18,49926
57,18,59949
58,18,70015
59,18,80178
60,18,90216
61,18,100236
62,18,110294
63,18,120827
64,18,131064
65,18,141439
66,18,151479
67,18,161598
68,18,171619
69,18,181744
70,18,191779
71,18,201814
72,18,211852
73,18,221879
74,18,232065
75,18,242105
76,18,252129
77,18,262178
78,18,272216
79,18,282508
80,18,293058
81,18,303107
82,18,313354
83,18,323388
84,18,333424
85,18,343447
86,18,353469
87,18,363512
88,18,373535
89,18,383962
90,18,394511
91,18,404853
92,18,415359
93,18,425542
94,18,435866
95,18,445929
96,18,456427
97,18,466465
98,18,476489
99,18,486911
100,18,497293
101,18,507335
102,18,517441
103,18,527486
104,18,537904
105,18,548359
106,18,558399
107,18,568423
108,18,578931
109,18,588956
110,18,599437
111,18,609944
112,18,619989
113,18,630015
114,18,640486
115,18,650510
116,18,660549
117,18,671008
118,18,681468
119,18,691510
120,18,702165
121,18,712215
122,18,722379
123,18,732404
124,18,742484
125,18,752526
126,18,762549
127,18,772589
128,18,782614
129,18,792927
130,18,802949
131,18,813087
132,18,823117
133,18,833537
134,18,843636
135,18,853767
136,18,863868
137,18,874131
138,18,884214
139,18,894236
140,18,904612
141,18,914855
142,18,925407
143,18,935914
144,18,946394
145,18,956869
146,18,966939
147,18,977403
148,18,987760
149,18,998103
150,19,8476
151,19,18574
152,19,28809
153,19,39034
154,19,49061
155,19,59085
156,19,69129
157,19,79153
158,19,89177
159,19,99216
160,19,109479
161,19,119763
162,19,129806
163,19,139922
164,19,149948
165,19,160471
166,19,170495
167,19,180518
168,19,190557
169,19,200581
170,19,210606
171,19,220629
172,19,231214
173,19,241362
174,19,251393
175,19,261414
176,19,271454
177,19,281498
178,19,291541
179,19,301565
180,19,311591
181,19,321629
182,19,331989
183,19,342055
184,19,352086
185,19,362127
186,19,372637
187,19,382676
188,19,392702
189,19,403081
190,19,413115
191,19,423148
192,19,433565
193,19,443628
194,19,453875
195,19,464406
196,19,474428
197,19,484901
198,19,495385
199,19,506048
200,19,516596
201,19,527001
202,19,537438
203,19,547962
204,19,558545
205,19,568586
206,19,578610
207,19,588647
208,19,598671
209,19,608695
210,19,618730
211,19,628755
212,19,638929
213,19,649046
214,19,659085
215,19,669424
216,19,679533
217,19,689558
218,19,699587
219,19,709610
220,19,719650
221,19,729898
222,19,739931
223,19,750318
224,19,760392
225,19,770438
226,19,780462
227,19,790935
228,19,801420
229,19,811441
230,19,821461
231,19,831759
232,19,841778
233,19,851803
234,19,861865
235,19,872251
236,19,882696
237,19,892856
238,19,903226
239,19,913257
240,19,923755
241,19,933980
242,19,944506
243,19,954830
244,19,965246
245,19,975370
246,19,986037
247,19,996435
248,20,6873
249,20,16929
250,20,27072
251,20,37474
252,20,47505
253,20,57556
254,20,68033
255,20,78584
256,20,89076
257,20,99101
258,20,109127
259,20,119312
260,20,129334
261,20,139357
262,20,149568
263,20,159592
264,20,169778
265,20,180118
266,20,190146
267,20,200402
268,20,210881
269,20,220924
270,20,230948
271,20,240993
272,20,251016
273,20,261042
274,20,271397
275,20,281460
276,20,291560
277,20,301587
278,20,312111
279,20,322718
280,20,332744
281,20,342778
282,20,353142
283,20,363167
284,20,373205
285,20,383436
286,20,393881
287,20,403933
288,20,414228
289,20,424256
290,20,434675
291,20,444830
292,20,455284
293,20,466041
294,20,476554
295,20,486868
296,20,496938
297,20,507389
298,20,517420
299,20,527447
300,20,537506
